Paper ID,Title,Authors,Year,Filename
1409.2752,Winner-Take-All Autoencoders,"Alireza Makhzani, Brendan Frey",2014,1409.2752_Winner-Take-All_Autoencoders.pdf
1410.0781,SimNets: A Generalization of Convolutional Networks,"Nadav Cohen, Amnon Shashua",2014,1410.0781_SimNets_A_Generalization_of_Convolutional_Networks.pdf
1410.3831,An exact mapping between the Variational Renormalization Group and Deep Learning,"Pankaj Mehta, David J. Schwab",2014,1410.3831_An_exact_mapping_between_the_Variational_Renormalization_Group_and_Deep_Learning.pdf
1410.3916,Memory Networks,"Jason Weston, Sumit Chopra, Antoine Bordes",2014,1410.3916_Memory_Networks.pdf
1410.8251,Notes on Noise Contrastive Estimation and Negative Sampling,Chris Dyer,2014,1410.8251_Notes_on_Noise_Contrastive_Estimation_and_Negative_Sampling.pdf
1411.0030,A* Sampling,"Chris J. Maddison, Daniel Tarlow, Tom Minka",2014,1411.0030_A_Sampling.pdf
1411.0247,Random feedback weights support learning in deep neural networks,"Timothy P. Lillicrap, Daniel Cownden, Douglas B. Tweed, Colin J. Akerman",2014,1411.0247_Random_feedback_weights_support_learning_in_deep_neural_networks.pdf
1411.6836,Deep convolutional filter banks for texture recognition and segmentation,"Mircea Cimpoi, Subhransu Maji, Andrea Vedaldi",2014,1411.6836_Deep_convolutional_filter_banks_for_texture_recognition_and_segmentation.pdf
1411.7610,Learning Stochastic Recurrent Networks,"Justin Bayer, Christian Osendorfer",2014,1411.7610_Learning_Stochastic_Recurrent_Networks.pdf
1412.1632,Deep Learning for Answer Sentence Selection,"Lei Yu, Karl Moritz Hermann, Phil Blunsom, Stephen Pulman",2014,1412.1632_Deep_Learning_for_Answer_Sentence_Selection.pdf
1412.4446,Domain-Adversarial Neural Networks,"Hana Ajakan, Pascal Germain, Hugo Larochelle, François Laviolette, Mario Marchand",2014,1412.4446_Domain-Adversarial_Neural_Networks.pdf
1412.5896,On the Stability of Deep Networks,"Raja Giryes, Guillermo Sapiro, Alex M. Bronstein",2014,1412.5896_On_the_Stability_of_Deep_Networks.pdf
1412.6181,Crypto-Nets: Neural Networks over Encrypted Data,"Pengtao Xie, Misha Bilenko, Tom Finley, Ran Gilad-Bachrach, Kristin Lauter, Michael Naehrig",2014,1412.6181_Crypto-Nets_Neural_Networks_over_Encrypted_Data.pdf
1412.6547,Fast Label Embeddings via Randomized Linear Algebra,"Paul Mineiro, Nikos Karampatziakis",2014,1412.6547_Fast_Label_Embeddings_via_Randomized_Linear_Algebra.pdf
1412.6583,Discovering Hidden Factors of Variation in Deep Networks,"Brian Cheung, Jesse A. Livezey, Arjun K. Bansal, Bruno A. Olshausen",2014,1412.6583_Discovering_Hidden_Factors_of_Variation_in_Deep_Networks.pdf
1412.6597,An Analysis of Unsupervised Pre-training in Light of Recent Advances,"Tom Le Paine, Pooya Khorrami, Wei Han, Thomas S. Huang",2014,1412.6597_An_Analysis_of_Unsupervised_Pre-training_in_Light_of_Recent_Advances.pdf
1412.6806,Striving for Simplicity: The All Convolutional Net,"Jost Tobias Springenberg, Alexey Dosovitskiy, Thomas Brox, Martin Riedmiller",2014,1412.6806_Striving_for_Simplicity_The_All_Convolutional_Net.pdf
1412.6980,Adam: A Method for Stochastic Optimization,"Diederik P. Kingma, Jimmy Ba",2014,1412.6980_Adam_A_Method_for_Stochastic_Optimization.pdf
1412.7024,Training deep neural networks with low precision multiplications,"Matthieu Courbariaux, Yoshua Bengio, Jean-Pierre David",2014,1412.7024_Training_deep_neural_networks_with_low_precision_multiplications.pdf
1412.7210,Denoising autoencoder with modulated lateral connections learns invariant representations of natural images,"Antti Rasmus, Tapani Raiko, Harri Valpola",2014,1412.7210_Denoising_autoencoder_with_modulated_lateral_connections_learns_invariant_representations_of_natural_images.pdf
1412.7580,Fast Convolutional Nets With fbfft: A GPU Performance Evaluation,"Nicolas Vasilache, Jeff Johnson, Michael Mathieu, Soumith Chintala, Serkan Piantino, Yann LeCun",2014,1412.7580_Fast_Convolutional_Nets_With_fbfft_A_GPU_Performance_Evaluation.pdf
1412.7753,Learning Longer Memory in Recurrent Neural Networks,"Tomas Mikolov, Armand Joulin, Sumit Chopra, Michael Mathieu, Marc'Aurelio Ranzato",2014,1412.7753_Learning_Longer_Memory_in_Recurrent_Neural_Networks.pdf
1502.01852,Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",2015,1502.01852_Delving_Deep_into_Rectifiers_Surpassing_Human-Level_Performance_on_ImageNet_Classification.pdf
1502.02251,From Pixels to Torques: Policy Learning with Deep Dynamical Models,"Niklas Wahlström, Thomas B. Schön, Marc Peter Deisenroth",2015,1502.02251_From_Pixels_to_Torques_Policy_Learning_with_Deep_Dynamical_Models.pdf
1502.02367,Gated Feedback Recurrent Neural Networks,"Junyoung Chung, Caglar Gulcehre, Kyunghyun Cho, Yoshua Bengio",2015,1502.02367_Gated_Feedback_Recurrent_Neural_Networks.pdf
1502.02476,An Infinite Restricted Boltzmann Machine,"Marc-Alexandre Côté, Hugo Larochelle",2015,1502.02476_An_Infinite_Restricted_Boltzmann_Machine.pdf
1502.02478,Efficient batchwise dropout training using submatrices,"Ben Graham, Jeremy Reizenstein, Leigh Robinson",2015,1502.02478_Efficient_batchwise_dropout_training_using_submatrices.pdf
1502.03167,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,"Sergey Ioffe, Christian Szegedy",2015,1502.03167_Batch_Normalization_Accelerating_Deep_Network_Training_by_Reducing_Internal_Covariate_Shift.pdf
1502.03436,An exploration of parameter redundancy in deep networks with circulant projections,"Yu Cheng, Felix X. Yu, Rogerio S. Feris, Sanjiv Kumar, Alok Choudhary, Shih-Fu Chang",2015,1502.03436_An_exploration_of_parameter_redundancy_in_deep_networks_with_circulant_projections.pdf
1502.03509,MADE: Masked Autoencoder for Distribution Estimation,"Mathieu Germain, Karol Gregor, Iain Murray, Hugo Larochelle",2015,1502.03509_MADE_Masked_Autoencoder_for_Distribution_Estimation.pdf
1502.03520,A Latent Variable Model Approach to PMI-based Word Embeddings,"Sanjeev Arora, Yuanzhi Li, Yingyu Liang, Tengyu Ma, Andrej Risteski",2015,1502.03520_A_Latent_Variable_Model_Approach_to_PMI-based_Word_Embeddings.pdf
1502.03648,Over-Sampling in a Deep Neural Network,Andrew J. R. Simpson,2015,1502.03648_Over-Sampling_in_a_Deep_Neural_Network.pdf
1502.04156,Towards Biologically Plausible Deep Learning,"Yoshua Bengio, Dong-Hyun Lee, Jorg Bornschein, Thomas Mesnard, Zhouhan Lin",2015,1502.04156_Towards_Biologically_Plausible_Deep_Learning.pdf
1502.04390,Equilibrated adaptive learning rates for non-convex optimization,"Yann N. Dauphin, Harm de Vries, Yoshua Bengio",2015,1502.04390_Equilibrated_adaptive_learning_rates_for_non-convex_optimization.pdf
1502.04434,Invariant backpropagation: how to train a transformation-invariant neural network,"Sergey Demyanov, James Bailey, Ramamohanarao Kotagiri, Christopher Leckie",2015,1502.04434_Invariant_backpropagation_how_to_train_a_transformation-invariant_neural_network.pdf
1503.00075,Improved Semantic Representations From Tree-Structured Long Short-Term Memory Networks,"Kai Sheng Tai, Richard Socher, Christopher D. Manning",2015,1503.00075_Improved_Semantic_Representations_From_Tree-Structured_Long_Short-Term_Memory_Networks.pdf
1503.01007,Inferring Algorithmic Patterns with Stack-Augmented Recurrent Nets,"Armand Joulin, Tomas Mikolov",2015,1503.01007_Inferring_Algorithmic_Patterns_with_Stack-Augmented_Recurrent_Nets.pdf
1503.02531,Distilling the Knowledge in a Neural Network,"Geoffrey Hinton, Oriol Vinyals, Jeff Dean",2015,1503.02531_Distilling_the_Knowledge_in_a_Neural_Network.pdf
